"","age","year","unit","season","area","iter","data"
"1",0,1985,"unique","all","unique","1",1194076.87468411
"2",0,1986,"unique","all","unique","1",1204654.25054327
"3",0,1987,"unique","all","unique","1",1209707.24510247
"4",0,1988,"unique","all","unique","1",1197715.70902104
"5",0,1989,"unique","all","unique","1",1160896.67416917
"6",0,1990,"unique","all","unique","1",1112306.53588443
"7",0,1991,"unique","all","unique","1",1084206.46010083
"8",0,1992,"unique","all","unique","1",1103421.40451187
"9",0,1993,"unique","all","unique","1",1166254.88316484
"10",0,1994,"unique","all","unique","1",1230953.56115174
"11",0,1995,"unique","all","unique","1",1247594.53048195
"12",0,1996,"unique","all","unique","1",1213332.51435334
"13",0,1997,"unique","all","unique","1",1174387.15226079
"14",0,1998,"unique","all","unique","1",1164528.72596307
"15",0,1999,"unique","all","unique","1",1162378.65982177
"16",0,2000,"unique","all","unique","1",1113585.04524605
"17",0,2001,"unique","all","unique","1",1006661.64561039
"18",0,2002,"unique","all","unique","1",901769.617612959
"19",0,2003,"unique","all","unique","1",863037.905625935
"20",0,2004,"unique","all","unique","1",901003.190250288
"21",0,2005,"unique","all","unique","1",960431.83230095
"22",0,2006,"unique","all","unique","1",952279.215575899
"23",0,2007,"unique","all","unique","1",855733.106779945
"24",0,2008,"unique","all","unique","1",746527.381413852
"25",0,2009,"unique","all","unique","1",693535.372701021
"26",0,2010,"unique","all","unique","1",702233.984140187
"27",0,2011,"unique","all","unique","1",728112.777080646
"28",0,2012,"unique","all","unique","1",716260.283131373
"29",0,2013,"unique","all","unique","1",657886.326522263
"30",0,2014,"unique","all","unique","1",588348.304081677
"31",0,2015,"unique","all","unique","1",531327.464807548
"32",0,2016,"unique","all","unique","1",479722.486144862
"33",0,2017,"unique","all","unique","1",420154.801962033
"34",0,2018,"unique","all","unique","1",356473.505430001
