"Year","Fleet","Catch","FLName"
1986,1,66,"SPNLL"
1988,1,4393,"SPNLL"
1989,1,7725,"SPNLL"
1990,1,6166,"SPNLL"
1991,1,5760,"SPNLL"
1992,1,5651,"SPNLL"
1993,1,6974,"SPNLL"
1994,1,7937,"SPNLL"
1995,1,11290,"SPNLL"
1996,1,9622,"SPNLL"
1997,1,8461,"SPNLL"
1998,1,5832,"SPNLL"
1999,1,5758,"SPNLL"
2000,1,6387.996,"SPNLL"
2001,1,5788.704,"SPNLL"
2002,1,5740.7,"SPNLL"
2003,1,4526.9,"SPNLL"
2004,1,5483.006,"SPNLL"
2005,1,5402.002,"SPNLL"
2006,1,5299.997,"SPNLL"
2007,1,5283.497,"SPNLL"
2008,1,4072.597,"SPNLL"
2009,1,5182.994,"SPNLL"
2010,1,5800.795,"SPNLL"
2011,1,4699.998,"SPNLL"
2012,1,4851.58,"SPNLL"
2013,1,4183.619,"SPNLL"
2014,1,4113.005,"SPNLL"
2015,1,5058.62,"SPNLL"
2016,1,4991.966,"SPNLL"
2017,1,4653.616,"SPNLL"
2018,1,4403.759,"SPNLL"
2019,1,4224.49,"SPNLL"
2020,1,4442.175,"SPNLL"
2021,1,4469.507,"SPNLL"
2022,1,3592.304,"SPNLL"
2023,1,4092.004,"SPNLL"
2024,1,4688.056,"SPNLL"
1958,2,0,"BRA-URYLL"
1959,2,0,"BRA-URYLL"
1960,2,0,"BRA-URYLL"
1961,2,440,"BRA-URYLL"
1962,2,251,"BRA-URYLL"
1963,2,125,"BRA-URYLL"
1964,2,125,"BRA-URYLL"
1965,2,125,"BRA-URYLL"
1966,2,125,"BRA-URYLL"
1967,2,62,"BRA-URYLL"
1968,2,100,"BRA-URYLL"
1969,2,181,"BRA-URYLL"
1970,2,162,"BRA-URYLL"
1971,2,154,"BRA-URYLL"
1972,2,121,"BRA-URYLL"
1973,2,161,"BRA-URYLL"
1974,2,465,"BRA-URYLL"
1975,2,514,"BRA-URYLL"
1976,2,365,"BRA-URYLL"
1977,2,384,"BRA-URYLL"
1978,2,367,"BRA-URYLL"
1979,2,520,"BRA-URYLL"
1980,2,1579,"BRA-URYLL"
1981,2,746,"BRA-URYLL"
1982,2,1593,"BRA-URYLL"
1983,2,1865,"BRA-URYLL"
1984,2,2394,"BRA-URYLL"
1985,2,1687,"BRA-URYLL"
1986,2,1289,"BRA-URYLL"
1987,2,1646,"BRA-URYLL"
1988,2,1589,"BRA-URYLL"
1989,2,1582,"BRA-URYLL"
1990,2,1998,"BRA-URYLL"
1991,2,1468,"BRA-URYLL"
1992,2,2819,"BRA-URYLL"
1993,2,2273,"BRA-URYLL"
1994,2,1736,"BRA-URYLL"
1995,2,2469,"BRA-URYLL"
1996,2,2536,"BRA-URYLL"
1997,2,4860,"BRA-URYLL"
1998,2,4733,"BRA-URYLL"
1999,2,5371,"BRA-URYLL"
2000,2,5292.3,"BRA-URYLL"
2001,2,4863.6,"BRA-URYLL"
2002,2,3671,"BRA-URYLL"
2003,2,3767.494,"BRA-URYLL"
2004,2,4088.524,"BRA-URYLL"
2005,2,4623.063,"BRA-URYLL"
2006,2,5049.6,"BRA-URYLL"
2007,2,4706.84353,"BRA-URYLL"
2008,2,3782.32944,"BRA-URYLL"
2009,2,3886.481,"BRA-URYLL"
2010,2,3147.907155,"BRA-URYLL"
2011,2,3163.10695,"BRA-URYLL"
2012,2,2871.19024,"BRA-URYLL"
2013,2,2484.37667,"BRA-URYLL"
2014,2,2892.016,"BRA-URYLL"
2015,2,2594.13072,"BRA-URYLL"
2016,2,2934.78017,"BRA-URYLL"
2017,2,2406.027698,"BRA-URYLL"
2018,2,2792.394,"BRA-URYLL"
2019,2,2858.83,"BRA-URYLL"
2020,2,2105.186,"BRA-URYLL"
2021,2,2823.047,"BRA-URYLL"
2022,2,2196,"BRA-URYLL"
2023,2,1973,"BRA-URYLL"
2024,2,2369.0444,"BRA-URYLL"
1956,3,1,"JPNLL1"
1957,3,124.00003,"JPNLL1"
1958,3,92.00001,"JPNLL1"
1959,3,70.99998,"JPNLL1"
1960,3,77.99995,"JPNLL1"
1961,3,265.41116,"JPNLL1"
1962,3,321.00006,"JPNLL1"
1963,3,826.02522,"JPNLL1"
1964,3,1289.132,"JPNLL1"
1965,3,1847.22158,"JPNLL1"
1966,3,1300.88045,"JPNLL1"
1967,3,474.08521,"JPNLL1"
1968,3,859.28485,"JPNLL1"
1969,3,2143,"JPNLL1"
1970,3,2877.00001,"JPNLL1"
1971,3,661.99998,"JPNLL1"
1972,3,1022.99998,"JPNLL1"
1973,3,479.99994,"JPNLL1"
1974,3,191.00001,"JPNLL1"
1975,3,805.00001,"JPNLL1"
1976,4,104.99999,"JPNLL2"
1977,4,514,"JPNLL2"
1978,4,503.00001,"JPNLL2"
1979,4,782.00002,"JPNLL2"
1980,4,2029.00004,"JPNLL2"
1981,4,2170.00003,"JPNLL2"
1982,4,3287.00001,"JPNLL2"
1983,4,1908.00002,"JPNLL2"
1984,4,4395.00005,"JPNLL2"
1985,4,4613.00002,"JPNLL2"
1986,4,2913.00002,"JPNLL2"
1987,4,2620.00003,"JPNLL2"
1988,4,4452.99994,"JPNLL2"
1989,4,4019,"JPNLL2"
1990,4,6708.00004,"JPNLL2"
1991,5,4459.00001,"JPNLL3"
1992,5,2870.00003,"JPNLL3"
1993,5,5255.99997,"JPNLL3"
1994,5,4699,"JPNLL3"
1995,5,3619.00002,"JPNLL3"
1996,5,2197.00003,"JPNLL3"
1997,5,1494.00003,"JPNLL3"
1998,5,1186.00006,"JPNLL3"
1999,5,775,"JPNLL3"
2000,5,790.00002,"JPNLL3"
2001,5,685.00004,"JPNLL3"
2002,5,832.65398,"JPNLL3"
2003,5,924.05204,"JPNLL3"
2004,5,686.00002,"JPNLL3"
2005,5,479.62907,"JPNLL3"
2006,5,1089.89299,"JPNLL3"
2007,5,2154.57103,"JPNLL3"
2008,5,1599.56002,"JPNLL3"
2009,5,1339.58204,"JPNLL3"
2010,5,1314.141,"JPNLL3"
2011,5,1232.529,"JPNLL3"
2012,5,1161.834,"JPNLL3"
2013,5,683.699,"JPNLL3"
2014,5,975.564,"JPNLL3"
2015,5,658.788,"JPNLL3"
2016,5,637.204,"JPNLL3"
2017,5,914.87,"JPNLL3"
2018,5,639.935,"JPNLL3"
2019,5,647.613,"JPNLL3"
2020,5,552.009,"JPNLL3"
2021,5,480.298,"JPNLL3"
2022,5,622.46,"JPNLL3"
2023,5,422.533,"JPNLL3"
2024,5,496.538,"JPNLL3"
1962,6,1.00001,"CTPLL1"
1963,6,5.00002,"CTPLL1"
1964,6,3,"CTPLL1"
1965,6,1.00001,"CTPLL1"
1966,6,95,"CTPLL1"
1967,6,166,"CTPLL1"
1968,6,488,"CTPLL1"
1969,6,828.00005,"CTPLL1"
1970,6,1281,"CTPLL1"
1971,6,779.00006,"CTPLL1"
1972,6,807.43528,"CTPLL1"
1973,6,1104.00002,"CTPLL1"
1974,6,801.99998,"CTPLL1"
1975,6,934.99997,"CTPLL1"
1976,6,744.99999,"CTPLL1"
1977,6,674.99995,"CTPLL1"
1978,6,625.00002,"CTPLL1"
1979,6,1291.99999,"CTPLL1"
1980,6,702.00003,"CTPLL1"
1981,6,528.00001,"CTPLL1"
1982,6,520.00001,"CTPLL1"
1983,6,261.00005,"CTPLL1"
1984,6,199,"CTPLL1"
1985,6,279.99993,"CTPLL1"
1986,6,216.00003,"CTPLL1"
1987,6,337.99999,"CTPLL1"
1988,6,797.99999,"CTPLL1"
1989,6,610.00001,"CTPLL1"
1990,6,896.00001,"CTPLL1"
1991,7,1452.99998,"CTPLL2"
1992,7,1686.00001,"CTPLL2"
1993,7,846.00002,"CTPLL2"
1994,7,2828.99996,"CTPLL2"
1995,7,2875.99999,"CTPLL2"
1996,7,2873.00004,"CTPLL2"
1997,7,2562.00003,"CTPLL2"
1998,7,1147,"CTPLL2"
1999,7,1167.99998,"CTPLL2"
2000,7,1303.00004,"CTPLL2"
2001,7,1149.00003,"CTPLL2"
2002,7,1164.00003,"CTPLL2"
2003,7,1254.00002,"CTPLL2"
2004,7,745.00002,"CTPLL2"
2005,7,743.99999,"CTPLL2"
2006,7,377.00006,"CTPLL2"
2007,7,671.00002,"CTPLL2"
2008,7,727.00004,"CTPLL2"
2009,7,612.00001,"CTPLL2"
2010,7,410,"CTPLL2"
2011,7,428.217,"CTPLL2"
2012,7,495.689,"CTPLL2"
2013,7,582,"CTPLL2"
2014,7,451.36,"CTPLL2"
2015,7,554.461,"CTPLL2"
2016,7,479.723,"CTPLL2"
2017,7,527.102,"CTPLL2"
2018,7,472.101,"CTPLL2"
2019,7,395.31,"CTPLL2"
2020,7,353.046,"CTPLL2"
2021,7,532,"CTPLL2"
2022,7,420,"CTPLL2"
2023,7,379,"CTPLL2"
2024,7,459,"CTPLL2"
1984,8,0,"ZAFLL"
1985,8,5,"ZAFLL"
1986,8,3,"ZAFLL"
1987,8,3,"ZAFLL"
1995,8,1,"ZAFLL"
1998,8,239.6,"ZAFLL"
1999,8,142.5,"ZAFLL"
2000,8,327.1,"ZAFLL"
2001,8,547.26,"ZAFLL"
2002,8,649.2,"ZAFLL"
2003,8,292.89,"ZAFLL"
2004,8,294.533,"ZAFLL"
2005,8,199.317,"ZAFLL"
2006,8,185.636,"ZAFLL"
2007,8,206.825,"ZAFLL"
2008,8,142.052,"ZAFLL"
2009,8,170.088,"ZAFLL"
2010,8,144.801,"ZAFLL"
2011,8,96.57445,"ZAFLL"
2012,8,50.245138,"ZAFLL"
2013,8,171.389529,"ZAFLL"
2014,8,152.41975,"ZAFLL"
2015,8,217.597793,"ZAFLL"
2016,8,163.526825,"ZAFLL"
2017,8,189.490842,"ZAFLL"
2018,8,188.68935,"ZAFLL"
2019,8,251.197875,"ZAFLL"
2020,8,149.46553,"ZAFLL"
2021,8,178.988332,"ZAFLL"
2022,8,160.57991,"ZAFLL"
2023,8,291.241804,"ZAFLL"
2024,8,291.098381,"ZAFLL"
1960,9,281,"OtherLL"
1961,9,111,"OtherLL"
1962,9,196,"OtherLL"
1963,9,463,"OtherLL"
1964,9,614,"OtherLL"
1965,9,607,"OtherLL"
1966,9,432,"OtherLL"
1967,9,875,"OtherLL"
1968,9,901.00001,"OtherLL"
1969,9,1128.99999,"OtherLL"
1970,9,1106,"OtherLL"
1971,9,569.00001,"OtherLL"
1972,9,628.99999,"OtherLL"
1973,9,1332.99994,"OtherLL"
1974,9,1295.00005,"OtherLL"
1975,9,808.00006,"OtherLL"
1976,9,1597.00006,"OtherLL"
1977,9,1267.00002,"OtherLL"
1978,9,1334.33303,"OtherLL"
1979,9,780.11102,"OtherLL"
1980,9,977.48101,"OtherLL"
1981,9,594.64202,"OtherLL"
1982,9,964.00003,"OtherLL"
1983,9,1349.37404,"OtherLL"
1984,9,1997.67199,"OtherLL"
1985,9,2638.99999,"OtherLL"
1986,9,495.00001,"OtherLL"
1987,9,1190.00003,"OtherLL"
1988,9,1369.00004,"OtherLL"
1989,9,2637.00001,"OtherLL"
1990,9,937.00003,"OtherLL"
1991,9,356.00001,"OtherLL"
1992,9,396.3,"OtherLL"
1993,9,390,"OtherLL"
1994,9,637.89999,"OtherLL"
1995,9,1328.99998,"OtherLL"
1996,9,632,"OtherLL"
1997,9,943.00001,"OtherLL"
1998,9,620.8,"OtherLL"
1999,9,1614.70001,"OtherLL"
2000,9,1349.188,"OtherLL"
2001,9,1268.78198,"OtherLL"
2002,9,1519.103,"OtherLL"
2003,9,948.89349,"OtherLL"
2004,9,1261.266,"OtherLL"
2005,9,1468.91713,"OtherLL"
2006,9,1981.71903,"OtherLL"
2007,9,2385.73102,"OtherLL"
2008,9,1662.2507,"OtherLL"
2009,9,1109.44695,"OtherLL"
2010,9,1416.673311,"OtherLL"
2011,9,1308.06497,"OtherLL"
2012,9,964.645005,"OtherLL"
2013,9,853.040004,"OtherLL"
2014,9,1196.91926,"OtherLL"
2015,9,1006.741344,"OtherLL"
2016,9,1255.99098,"OtherLL"
