"Year","Fleet","SLJFL5","Nr","FLName"
1985,1,90,1,"SPNLL"
1985,1,95,7,"SPNLL"
1985,1,100,10,"SPNLL"
1985,1,105,27,"SPNLL"
1985,1,110,30,"SPNLL"
1985,1,115,21,"SPNLL"
1985,1,120,37,"SPNLL"
1985,1,125,43,"SPNLL"
1985,1,130,53,"SPNLL"
1985,1,135,52,"SPNLL"
1985,1,140,90,"SPNLL"
1985,1,145,32,"SPNLL"
1985,1,150,63,"SPNLL"
1985,1,155,50,"SPNLL"
1985,1,160,53,"SPNLL"
1985,1,165,67,"SPNLL"
1985,1,170,48,"SPNLL"
1985,1,175,61,"SPNLL"
1985,1,180,43,"SPNLL"
1985,1,185,25,"SPNLL"
1985,1,190,16,"SPNLL"
1985,1,195,13,"SPNLL"
1985,1,200,10,"SPNLL"
1985,1,205,28,"SPNLL"
1985,1,210,2,"SPNLL"
1985,1,215,3,"SPNLL"
1985,1,220,1,"SPNLL"
1985,1,235,5,"SPNLL"
1986,1,85,1,"SPNLL"
1986,1,90,10,"SPNLL"
1986,1,95,2,"SPNLL"
1986,1,100,13,"SPNLL"
1986,1,105,2,"SPNLL"
1986,1,110,8,"SPNLL"
1986,1,115,15,"SPNLL"
1986,1,120,15,"SPNLL"
1986,1,125,16,"SPNLL"
1986,1,130,7,"SPNLL"
1986,1,135,7,"SPNLL"
1986,1,140,9,"SPNLL"
1986,1,145,11,"SPNLL"
1986,1,150,8,"SPNLL"
1986,1,155,7,"SPNLL"
1986,1,160,7,"SPNLL"
1986,1,165,8,"SPNLL"
1986,1,170,7,"SPNLL"
1986,1,175,4,"SPNLL"
1986,1,180,7,"SPNLL"
1986,1,185,8,"SPNLL"
1986,1,190,6,"SPNLL"
1986,1,195,2,"SPNLL"
1986,1,200,5,"SPNLL"
1986,1,205,1,"SPNLL"
1986,1,210,4,"SPNLL"
1988,1,60,1,"SPNLL"
1988,1,70,1,"SPNLL"
1988,1,80,22,"SPNLL"
1988,1,85,17,"SPNLL"
1988,1,90,9,"SPNLL"
1988,1,95,27,"SPNLL"
1988,1,100,13,"SPNLL"
1988,1,105,94,"SPNLL"
1988,1,110,27,"SPNLL"
1988,1,115,201,"SPNLL"
1988,1,120,5,"SPNLL"
1988,1,125,32,"SPNLL"
1988,1,130,216,"SPNLL"
1988,1,135,23,"SPNLL"
1988,1,140,117,"SPNLL"
1988,1,145,223,"SPNLL"
1988,1,150,13,"SPNLL"
1988,1,155,151,"SPNLL"
1988,1,160,243,"SPNLL"
1988,1,165,97,"SPNLL"
1988,1,170,2,"SPNLL"
1988,1,175,223,"SPNLL"
1988,1,180,62,"SPNLL"
1988,1,185,136,"SPNLL"
1988,1,190,74,"SPNLL"
1988,1,195,143,"SPNLL"
1988,1,200,76,"SPNLL"
1988,1,205,10,"SPNLL"
1988,1,210,30,"SPNLL"
1988,1,215,38,"SPNLL"
1988,1,220,1,"SPNLL"
1988,1,225,8,"SPNLL"
1988,1,230,9,"SPNLL"
1988,1,235,1,"SPNLL"
1988,1,240,3,"SPNLL"
1988,1,245,1,"SPNLL"
1988,1,255,1,"SPNLL"
1989,1,75,1,"SPNLL"
1989,1,85,141,"SPNLL"
1989,1,90,82,"SPNLL"
1989,1,95,88,"SPNLL"
1989,1,100,670,"SPNLL"
1989,1,105,400,"SPNLL"
1989,1,110,557,"SPNLL"
1989,1,115,905,"SPNLL"
1989,1,120,238,"SPNLL"
1989,1,125,319,"SPNLL"
1989,1,130,730,"SPNLL"
1989,1,135,688,"SPNLL"
1989,1,140,643,"SPNLL"
1989,1,145,624,"SPNLL"
1989,1,150,894,"SPNLL"
1989,1,155,456,"SPNLL"
1989,1,160,391,"SPNLL"
1989,1,165,427,"SPNLL"
1989,1,170,195,"SPNLL"
1989,1,175,1472,"SPNLL"
1989,1,180,302,"SPNLL"
1989,1,185,195,"SPNLL"
1989,1,190,130,"SPNLL"
1989,1,195,204,"SPNLL"
1989,1,200,89,"SPNLL"
1989,1,205,132,"SPNLL"
1989,1,210,45,"SPNLL"
1989,1,215,30,"SPNLL"
1989,1,220,11,"SPNLL"
1989,1,225,2,"SPNLL"
1989,1,230,6,"SPNLL"
1989,1,235,3,"SPNLL"
1989,1,240,1,"SPNLL"
1989,1,245,3,"SPNLL"
1989,1,255,1,"SPNLL"
1989,1,270,2,"SPNLL"
1990,1,60,1,"SPNLL"
1990,1,70,9,"SPNLL"
1990,1,75,23,"SPNLL"
1990,1,80,65,"SPNLL"
1990,1,85,51,"SPNLL"
1990,1,90,84,"SPNLL"
1990,1,95,59,"SPNLL"
1990,1,100,76,"SPNLL"
1990,1,105,305,"SPNLL"
1990,1,110,239,"SPNLL"
1990,1,115,468,"SPNLL"
1990,1,120,272,"SPNLL"
1990,1,125,243,"SPNLL"
1990,1,130,532,"SPNLL"
1990,1,135,428,"SPNLL"
1990,1,140,828,"SPNLL"
1990,1,145,1148,"SPNLL"
1990,1,150,822,"SPNLL"
1990,1,155,1184,"SPNLL"
1990,1,160,1166,"SPNLL"
1990,1,165,888,"SPNLL"
1990,1,170,738,"SPNLL"
1990,1,175,925,"SPNLL"
1990,1,180,616,"SPNLL"
1990,1,185,671,"SPNLL"
1990,1,190,429,"SPNLL"
1990,1,195,381,"SPNLL"
1990,1,200,304,"SPNLL"
1990,1,205,167,"SPNLL"
1990,1,210,160,"SPNLL"
1990,1,215,79,"SPNLL"
1990,1,220,41,"SPNLL"
1990,1,225,20,"SPNLL"
1990,1,230,10,"SPNLL"
1990,1,235,6,"SPNLL"
