"Year","Catch"
1950,100
1951,200
1952,200
1953,200
1954,100
1955,100
1956,1
1957,224.00003
1958,92.00001
1959,170.99998
1960,458.99995
1961,1016.41116
1962,769.00007
1963,1419.02524
1964,2031.132
1965,2580.22159
1966,1952.88045
1967,1577.08521
1968,2448.28486
1969,4481.00004
1970,5426.00001
1971,2166.00005
1972,2580.43525
1973,3077.9999
1974,2753.00004
1975,3062.00004
1976,2812.00004
1977,2854.99997
1978,2846.33306
1979,3403.11103
1980,5431.48108
1981,4075.64206
1982,6447.00005
1983,5492.37411
1984,9227.41204
1985,9585.95994
1986,5894.10006
1987,6030.31005
1988,13171.98997
1989,17055.10002
1990,17304.57208
1991,13892.64
1992,13813.37004
1993,16130.47999
1994,18958.33595
1995,21930.62999
1996,18289.28007
1997,18542.08307
1998,14027.30506
1999,15501.58999
2000,15727.61806
2001,15128.29005
2002,14103.83301
2003,12634.29855
2004,13081.56904
2005,13165.23419
2006,14195.55808
2007,15629.2976
2008,12369.8382
2009,12668.293
2010,12595.636466
2011,11205.02937
2012,10686.409103
2013,9204.081603
2014,9969.85001
2015,10344.692457
2016,10610.752415
2017,10537.418681
2018,10387.760267
2019,10091.145945
2020,8939.013674
2021,9499.812372
2022,8759.247093
2023,8366.357919
2024,9282.073498
