"Year","Catch"
1950,586
1951,580
1952,337
1953,501
1954,452
1955,340
1956,393
1957,645.4
1958,914
1959,600.667
1960,515.222
1961,611.963
1962,703.284
1963,722.156
1964,798.468
1965,1760
1966,1752
1967,1317
1968,3440
1969,3723
1970,3341
1971,4975
1972,11160.407
1973,8734.536
1974,9712.6294
1975,8522.3613
1976,9544.1429
1977,10046.0479
1978,11327.2539
1979,10654.5293
1980,11947.2771
1981,11783.6941
1982,10198.086
1983,10696.376
1984,13665.5769
1985,15293.9639
1986,16764.86
1987,18319.979
1988,20365.3761
1989,17761.891
1990,16017.504
1991,15746.2771
1992,14709.419
1993,13264.866
1994,16082.214
1995,13015.475
1996,12052.811
1997,14693.346
1998,14368.865
1999,13698.637
2000,15568.785
2001,15006.067
2002,12814.036
2003,15693.589
2004,14404.921
2005,14621.904
2006,14915.465
2007,14226.83855
2008,13683.18274
2009,13235.238689
2010,14753.57969
2011,12640.349311
2012,11045.685329
2013,10069.722689
2014,11187.634559703
2015,12248.395296621
2016,12587.471789657
2017,10832.916212365
2018,9025.212537189
2019,10757.391721785
2020,10275.362290189
2021,9758.821728247
2022,9538.65362209
2023,10041.16312052
2024,11255.04047031
