YearC,Age0,Age1,Age2,Age3,Age4,Age5,Age6,Age7,Age8,Age9P
1972,,51508.80,86268.27,130348.44,49499.80,12957.70,5729.31,2487.06,1260.14,1554.75
1973,,41699.32,66501.41,108353.29,28583.95,12387.27,5562.28,2668.01,383.39,1269.20
1974,,43590.34,72073.25,138474.68,36980.52,9448.20,4277.38,1445.29,86.41,868.84
1975,,37064.20,67106.84,128996.78,30637.00,7184.08,2428.62,1058.83,244.44,707.86
1976,,41634.08,59662.39,139718.86,40179.26,9722.81,3060.80,1239.11,125.67,830.95
1977,,46226.53,77441.49,159818.17,29753.72,9525.45,3522.00,1355.73,120.81,822.54
1978,1718.60,24672.76,86244.75,176070.41,35183.89,12544.85,7005.26,1471.71,0.00,881.56
1979,628.21,24626.63,61690.12,156909.47,27190.37,15907.89,7913.27,1437.96,1302.94,3318.25
1980,2924.16,20169.21,89396.78,195372.73,28570.05,10680.23,6868.47,2906.12,655.17,2401.71
1981,3027.15,20971.47,88146.52,174985.02,29926.27,11027.25,8000.69,3043.55,1100.09,3676.38
1982,2866.74,19773.13,99263.46,128175.88,25696.39,11585.51,7805.83,3222.60,1017.42,3240.02
1983,1322.33,9421.19,129633.05,148057.42,27258.49,10039.24,4908.66,1288.43,271.25,1353.36
1984,1690.16,81080.50,187341.52,175704.32,39561.05,10555.78,3617.59,1224.01,145.58,181.55
1985,9758.70,106423.29,148484.22,203321.83,36155.80,21783.18,8620.60,2735.25,1496.57,566.56
1986,6796.33,64710.98,160480.83,205961.33,49263.58,23653.06,8661.44,4648.50,1347.29,2618.34
1987,4207.48,36539.06,138807.19,282198.19,61134.14,20922.04,6952.02,3643.43,1910.52,1202.19
1988,8926.84,171055.40,102699.68,281293.97,88991.07,28548.94,9014.17,3729.02,683.01,555.35
1989,9355.36,77981.02,109616.22,312344.15,59342.14,16685.09,4757.22,1556.01,455.95,352.38
1990,32831.26,200236.01,243719.32,151659.35,30577.41,15410.21,6930.25,3320.80,1411.21,1515.93
1991,36673.14,163804.67,201804.68,123789.95,49487.66,20360.02,9333.09,3756.90,2254.30,1593.99
1992,34087.00,156586.21,196227.00,100114.71,47035.73,21642.24,9088.93,3724.76,2355.58,2059.26
1993,16022.66,226215.28,195219.97,89262.69,32694.84,16825.16,7502.15,3880.31,1510.43,1952.81
1994,27568.66,194966.84,216649.82,110453.94,37862.54,22028.66,11044.23,6444.49,3093.92,3756.40
1995,19855.95,270687.33,160586.90,80474.67,27188.90,15984.29,8973.65,4537.90,2069.25,2997.02
1996,34865.74,222702.63,145767.20,83585.56,29988.55,13968.11,7863.79,3667.74,1793.89,4141.62
1997,21846.40,380180.69,194915.74,99174.27,29730.44,16705.51,6280.18,3041.38,1650.38,2357.59
1998,32058.62,358399.49,184758.25,83345.67,32913.39,20588.47,8710.03,3406.35,1519.65,1721.47
1999,9380.28,182650.76,253000.36,96029.78,36806.47,15236.51,6468.79,3568.47,1589.62,1873.31
2000,7604.74,126154.92,276137.42,126773.99,40408.49,23912.39,9385.23,5609.36,1952.87,2107.55
2001,17440.29,199737.46,254323.69,111737.34,39389.99,16059.80,7183.01,3109.35,2283.56,3016.27
2002,10297.05,195895.75,182016.15,89663.49,34090.01,16831.27,7275.49,3676.79,1655.73,1877.91
2003,41175.90,127456.91,266732.42,114886.28,43206.51,20782.48,7928.71,3759.24,2402.64,2749.44
2004,53047.82,236316.54,171952.16,88106.31,38841.80,21331.26,8786.90,4742.53,2286.51,3328.48
2005,55019.58,149046.62,137207.56,60758.51,41434.22,28603.08,14279.54,8505.77,4198.16,6408.51
2006,12975.14,141827.46,197727.93,80434.62,36059.37,22501.16,11938.17,7302.61,3826.99,5991.53
2007,37967.81,247254.91,155931.44,90504.50,38342.10,19112.95,8126.68,3837.84,2444.95,2880.37
2008,18206.54,301537.61,226255.01,79478.70,30517.00,13815.66,4664.23,2059.73,1155.20,2705.86
2009,5364.03,237966.56,224835.70,76306.19,38262.06,19260.19,6210.34,2233.96,1479.32,1750.93
2010,40492.26,260369.71,161311.47,90289.71,51073.82,22771.92,8827.43,3916.69,2422.38,2121.67
2011,95943.10,218815.07,180005.10,79528.16,39618.10,14373.09,8628.02,3484.38,1368.76,3679.60
2012,8634.69,194975.34,134349.31,55874.19,28915.37,15079.84,8387.01,5590.65,2510.53,2454.04
2013,3350.07,141874.55,148570.44,63827.42,27360.89,12759.65,6969.00,3555.06,1822.64,2002.02
2014,5099.33,95733.52,174082.43,81789.42,32447.67,14888.27,6994.43,2370.15,616.10,2841.08
2015,6740.58,185808.13,158759.15,77856.17,29767.03,12708.56,7076.17,3858.02,1840.78,3986.09
2016,3324.51,215089.02,163137.86,73756.35,36053.38,18328.70,7314.12,2264.85,1329.93,2836.88
2017,3311.58,129145.04,139011.95,45854.85,32518.09,20509.50,9326.46,4358.09,1955.93,1166.82
2018,18040.87,117760.17,121237.56,43438.13,27370.18,14578.65,5254.36,2595.99,1452.31,1477.32
2019,28117.39,116355.09,102603.65,49321.27,28225.56,12510.10,4906.60,3139.06,1160.41,2974.02
2020,5462.09,113312.96,95088.59,42629.52,19861.54,12456.34,7103.77,4274.24,1992.44,2542.25
2021,35915.73,106475.86,121912.92,37930.35,17032.86,13992.64,5701.91,3046.57,1178.67,2514.32
2022,16208.76,89842.21,128911.42,38099.82,15983.64,10264.17,4905.94,2492.46,1115.29,2833.07
2023,9225.70,109950.09,123320.12,45217.01,20659.25,9312.41,5227.78,3084.82,1232.36,2127.11
2024,12653.38,120290.44,124196.23,66196.06,21243.54,10793.88,4680.46,2007.95,964.20,2294.56
