Year,GRC_LL_std,GRC_LL_CV,w_LIG_LL_early_std,w_LIG_LL_early_CV,w_LIG_LL_std,w_LIG_LL_CV,w_SPN_LL_std,w_SPN_LL_CV,MOR_LL_std,MOR_LL_CV,SIC_GN_std,SIC_GN_CV
1987,181.700,0.093,,,,,,,,,,
1988,213.310,0.098,,,,,128.575,0.184,,,,
1989,247.250,0.134,,,,,115.406,0.293,,,,
1990,186.440,0.077,,,,,122.175,0.265,,,8.310,
1991,228.970,0.064,88.467,,,,86.718,0.183,,,9.800,
1992,100.210,0.061,66.100,,,,74.248,0.183,,,16.870,
1993,151.640,0.064,68.763,,,,98.034,0.182,,,13.040,
1994,175.700,0.062,90.596,,,,119.939,0.181,,,9.490,
1995,119.980,0.074,94.617,,,,94.240,0.181,,,14.650,
1996,181.700,0.093,94.344,,,,80.784,0.181,,,9.330,
1997,256.780,0.096,101.069,,,,82.594,0.183,,,14.040,
1998,239.030,0.066,144.937,,,,93.000,0.182,,,10.120,
1999,208.380,0.053,101.896,,,,85.875,0.183,,,12.710,
2000,171.510,0.049,134.681,,,,121.499,0.300,,,14.920,
2001,174.740,0.058,181.625,,,,83.625,0.192,,,13.060,
2002,143.120,0.070,140.325,,,,125.307,0.187,,,,
2003,170.910,0.057,152.278,,,,80.784,0.190,,,,
2004,172.180,0.051,98.858,,,,60.114,0.189,,,15.150,
2005,170.750,0.048,80.801,,,,81.707,0.195,,,12.070,
2006,180.520,0.052,125.048,,,,108.599,0.204,,,30.740,
2007,183.800,0.052,239.999,,,,118.587,0.192,,,,
2008,171.930,0.068,208.176,,,,153.373,0.188,,,3.290,
2009,159.220,0.061,123.387,,,,99.027,0.184,,,1.970,
2010,178.510,0.062,,,336.730,0.060,106.200,0.184,,,,
2011,149.110,0.071,,,246.910,0.050,101.998,0.183,,,,
2012,137.980,0.080,,,156.270,0.050,135.047,0.185,111.200,0.037,,
2013,217.800,0.074,,,171.670,0.050,89.254,0.180,155.757,0.030,,
2014,171.600,0.059,,,245.330,0.050,96.435,0.180,77.266,0.039,,
2015,148.270,0.079,,,158.990,0.060,86.128,0.180,88.180,0.048,,
2016,165.220,0.061,,,197.820,0.060,70.599,0.180,87.318,0.054,,
2017,108.600,0.129,,,179.970,0.050,124.628,0.217,57.423,0.031,,
2018,123.620,0.082,,,121.060,0.070,106.940,0.202,63.629,0.032,,
2019,128.250,0.079,,,176.470,0.040,79.206,0.194,47.145,0.035,,
2020,138.790,0.074,,,209.340,0.050,77.893,0.198,53.662,0.034,,
2021,143.040,0.073,,,125.770,0.050,93.605,0.256,55.357,0.035,,
2022,91.210,0.084,,,167.220,0.050,91.876,0.256,57.375,0.030,,
2023,110.740,0.083,,,182.350,0.050,99.397,0.260,55.386,0.032,,
2024,118.740,0.086,,,,,72.807,0.264,56.501,0.030,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,

